compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,geometry
C1Mo1,aflow:c26e5f22dedda7c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618306,225,cF8,"['C', 'Mo']","[3.10715, 3.10715, 3.10715, 60, 60, 60]"
C1Mo1,aflow:dcc37d0f19011b4d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_43523,225,cF8,"['C', 'Mo']","[3.10807, 3.10807, 3.10807, 60, 60, 60]"
C1Mo1,aflow:e6168f280fcabded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_183165,225,cF8,"['C', 'Mo']","[3.10777, 3.10777, 3.10777, 60, 60, 60]"
C1Mo1,aflow:fd34dee078319bb9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618302,225,cF8,"['C', 'Mo']","[3.10715, 3.10715, 3.10715, 60, 60, 60]"
C1Nb1,aflow:306d794471ba0aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618475,225,cF8,"['C', 'Nb']","[3.1836, 3.1836, 3.1836, 60, 60, 60]"
C1Nb1,aflow:32b9cbf60b1a5f82,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618463,225,cF8,"['C', 'Nb']","[3.1845, 3.1845, 3.1845, 60, 60, 60]"
C1Nb1,aflow:3af6e0150543164b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_601142,225,cF8,"['C', 'Nb']","[3.18362, 3.18362, 3.18362, 60, 60, 60]"
C1Nb1,aflow:41441e30d7d0aee9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181052,225,cF8,"['C', 'Nb']","[3.18647, 3.18647, 3.18647, 60, 60, 60]"
C1Nb1,aflow:59313a3131de9c03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618480,225,cF8,"['C', 'Nb']","[3.18329, 3.18329, 3.18329, 60, 60, 60]"
C1Nb1,aflow:60a2faed282b0dd1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618482,225,cF8,"['C', 'Nb']","[3.18437, 3.18437, 3.18437, 60, 60, 60]"
