compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,natoms,volume_cell,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity
C1Mn1,aflow:12c900a6cb2f67d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/201,225,cF8,"['C', 'Mn']",-0.14,2.221,,,,0.309524,2,17.1784,4.095883236417577,,,,,
C1Mn1,aflow:78f30e4428ebd929,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/720.BA,225,cF8,"['C', 'Mn']",-0.14,2.221,,,,0.309524,2,17.1784,4.095883236417577,,,,,
C1Mn1,aflow:bf6ffc718653b2ed,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/4,225,cF8,"['C', 'Mn']",-0.14,2.221,,,,0.309675,2,17.1808,4.096073973273418,,,,,
C1Mo1,aflow:2681365ead45dc92,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/720.BA,225,cF8,"['C', 'Mo']",0.0,0.0,,,,0.212185,2,21.0433,4.382527123898472,,,,,
C1Mo1,aflow:4a15609e7db69ef1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/720.AB,225,cF8,"['C', 'Mo']",0.0,0.0,,,,0.212185,2,21.0432,4.38252018180912,,,,,
C1Mo1,aflow:7b24175c455986fe,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/ICSD_43523.AB,225,cF8,"['C', 'Mo']",0.0,0.0,,,,0.212185,2,21.0432,4.38252018180912,,,,,
C1Mo1,aflow:7c4604b1a2705be0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/201,225,cF8,"['C', 'Mo']",0.0,0.0,,2.05739e-05,611.957,0.212185,2,21.0433,4.382527123898472,334.083,0.312958,142.779,374.925,40.5291
C1Mo1,aflow:b277e5beb3212b58,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/4,225,cF8,"['C', 'Mo']",0.0,0.0,,,,0.212212,2,21.0416,4.3824091053882945,,,,,
C1Na1,aflow:58c5d3054d2d7930,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/201,225,cF8,"['C', 'Na']",1.231,0.018,,,,2.49287,2,41.0142,5.474335525372366,,,,,
C1Na1,aflow:e06b039a3f7aee82,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/720.AB,225,cF8,"['C', 'Na']",1.231,0.018,,,,2.49287,2,41.0143,5.474339974507117,,,,,
C1Na1,aflow:f884cc8a7bb2c682,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/720.BA,225,cF8,"['C', 'Na']",1.231,0.018,,,,2.49299,2,41.0565,5.47621686427708,,,,,
C1Nb1,aflow:2639f075621ed57a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_44496.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542614,2,22.6411,4.490753028033807,,,,,
C1Nb1,aflow:4553463d045385b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_155164.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542614,2,22.6411,4.490753028033807,,,,,
C1Nb1,aflow:54afab7ce23a0015,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/720.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542618,2,22.6395,4.490647241446494,,,,,
C1Nb1,aflow:667cdc34d29a6a0f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/720.BA,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542614,2,22.6411,4.490753028033807,,,,,
C1Nb1,aflow:90c33e8683590af5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_26955.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542614,2,22.6411,4.490753028033807,,,,,
C1Nb1,aflow:a172b6019c70651f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/4,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542917,2,22.6246,4.489661864440774,,,,,
C1Nb1,aflow:aa76acc5d2c7fd57,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/201,225,cF8,"['C', 'Nb']",0.0,0.0,,1.8757e-05,730.085,-0.542719,2,22.5558,4.485106316201039,299.616,0.230638,196.74,484.231,75.4542
C1Nb1,aflow:cc651d2e76105e10,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_44355.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542614,2,22.6411,4.490753028033807,,,,,
C1Nb1,aflow:ce23c1f616dd0610,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_601142.AB,225,cF8,"['C', 'Nb']",0.0,0.0,,,,-0.542618,2,22.6395,4.490647241446494,,,,,
C1Ni1,aflow:6d16ec700d8e923e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNi_pv/4,225,cF8,"['C', 'Ni']",0.0,0.0,,,,1.10242,2,16.8114,4.06650481603756,,,,,
C1Ni1,aflow:a9bcdc3041754651,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNi_pv/201,225,cF8,"['C', 'Ni']",0.0,0.0,,,,1.1003,2,16.6481,4.053295088031719,,,,,
C1Ni1,aflow:ae16e80685cb88e0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNi_pv/720.BA,225,cF8,"['C', 'Ni']",0.0,0.0,,,,1.10133,2,16.7963,4.065286939748725,,,,,
C1Ni1,aflow:d8bbf4400409eea4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNi_pv/720.AB,225,cF8,"['C', 'Ni']",0.0,0.0,,,,1.10133,2,16.7963,4.065286939748725,,,,,
C1Os1,aflow:65af9f667757139e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/COs_pv/201,225,cF8,"['C', 'Os']",0.0,0.0,,,,1.38649,2,20.7564,4.362519095271408,,,,,
C1Os1,aflow:788c729d763ad4f3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/COs_pv/720.AB,225,cF8,"['C', 'Os']",0.0,0.0,,,,1.38649,2,20.7564,4.362519095271408,,,,,
C1Os1,aflow:bbd7d57ac0650e12,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/COs_pv/720.BA,225,cF8,"['C', 'Os']",0.0,0.0,,,,1.38649,2,20.7564,4.362519095271408,,,,,
C1P1,aflow:221e27ddefb4151a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CP/4,225,cF8,"['C', 'P']",0.0,0.0,,,,1.18571,2,18.0332,4.16272380788217,,,,,
C1P1,aflow:36952fad3499d31e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CP/201,225,cF8,"['C', 'P']",0.0,0.0,,,,1.18569,2,18.032,4.162631471166646,,,,,
C1P1,aflow:3994c452996e01b3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CP/720.AB,225,cF8,"['C', 'P']",0.0,0.0,,,,1.18569,2,18.032,4.162631471166646,,,,,
C1P1,aflow:b711f85af066d9b0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CP/720.BA,225,cF8,"['C', 'P']",0.0,0.0,,,,1.18569,2,18.032,4.162631471166646,,,,,
C1Pb1,aflow:973b193dd6bdc1da,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPb_d/720.AB,225,cF8,"['C', 'Pb']",0.0,0.0,,,,1.81176,2,33.1286,5.098248790007728,,,,,
C1Pb1,aflow:b71fcf7ac3ba1474,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPb_d/4,225,cF8,"['C', 'Pb']",0.0,0.0,,,,1.81178,2,33.1265,5.098141062860698,,,,,
C1Pb1,aflow:cab6ecc35db6d1b8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPb_d/201,225,cF8,"['C', 'Pb']",0.0,0.0,,,,1.81176,2,33.1286,5.098248790007728,,,,,
C1Pb1,aflow:ef3b85baeb8d74c9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPb_d/720.BA,225,cF8,"['C', 'Pb']",0.0,0.0,,,,1.81176,2,33.1294,5.098289827723397,,,,,
C1Pd1,aflow:1853fed4b441fa09,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPd_pv/720.BA,225,cF8,"['C', 'Pd']",0.0,0.0,,,,1.49112,2,21.9256,4.442940454073288,,,,,
C1Pd1,aflow:9a32e393fe53a94b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPd_pv/720.AB,225,cF8,"['C', 'Pd']",0.0,0.0,,,,1.49112,2,21.9256,4.442940454073288,,,,,
C1Pd1,aflow:dbe6478da484b0dc,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPd_pv/4,225,cF8,"['C', 'Pd']",0.0,0.0,,,,1.49117,2,21.9247,4.44287966210527,,,,,
C1Pd1,aflow:ed7e078c2c0315c6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPd_pv/201,225,cF8,"['C', 'Pd']",0.0,0.0,,,,1.49112,2,21.9256,4.442940454073288,,,,,
C1Pt1,aflow:23de2f138f8eaf25,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPt/4,225,cF8,"['C', 'Pt']",0.0,0.0,,,,1.47657,2,22.4177,4.4759340767288815,,,,,
C1Pt1,aflow:2530fd0195050f1f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPt/720.BA,225,cF8,"['C', 'Pt']",0.0,0.0,,,,1.47654,2,22.4146,4.475727751142896,,,,,
C1Pt1,aflow:c1239a1be07e9833,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPt/201,225,cF8,"['C', 'Pt']",0.0,0.0,,,,1.47654,2,22.4146,4.475727751142896,,,,,
C1Pt1,aflow:e1a5cb54d7eb729d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CPt/720.AB,225,cF8,"['C', 'Pt']",0.0,0.0,,,,1.47654,2,22.4146,4.475727751142896,,,,,
C1Rb1,aflow:089cb0a77466a3b5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRb_sv/720.BA,225,cF8,"['C', 'Rb']",1.208,0.074,,,,2.30427,2,68.028,6.480112785721734,,,,,
C1Rb1,aflow:1d997472f32e4304,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRb_sv/720.AB,225,cF8,"['C', 'Rb']",1.208,0.074,,,,2.30427,2,68.028,6.480112785721734,,,,,
C1Rb1,aflow:3e0f7ec938c5a8c2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRb_sv/201,225,cF8,"['C', 'Rb']",1.208,0.074,,,,2.30427,2,68.028,6.480112785721734,,,,,
C1Rb1,aflow:f59a9eb08ed437a1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRb_sv/4,225,cF8,"['C', 'Rb']",1.207,0.074,,,,2.30427,2,68.0371,6.480401717716143,,,,,
C1Re1,aflow:401cecb8f4293b05,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRe_pv/720.AB,225,cF8,"['C', 'Re']",0.0,0.002,,,,0.936073,2,20.7541,4.362357953574484,,,,,
C1Re1,aflow:4edccf6defd5ffd5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRe_pv/720.BA,225,cF8,"['C', 'Re']",0.0,0.002,,,,0.936073,2,20.754,4.36235094714369,,,,,
C1Re1,aflow:d5c915940dec0dd9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRe_pv/201,225,cF8,"['C', 'Re']",0.0,0.002,,,,0.936073,2,20.7541,4.362357953574484,,,,,
C1Rh1,aflow:3ab2ac2944a0fa73,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRh_pv/720.BA,225,cF8,"['C', 'Rh']",0.069,0.179,,,,1.08719,2,20.7052,4.358929120046274,,,,,
C1Rh1,aflow:3f92566875817608,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRh_pv/201,225,cF8,"['C', 'Rh']",0.069,0.179,,,,1.08719,2,20.7052,4.358929120046274,,,,,
C1Rh1,aflow:be9305538dc73eb9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRh_pv/720.AB,225,cF8,"['C', 'Rh']",0.069,0.179,,,,1.08719,2,20.7052,4.358929120046274,,,,,
C1Ru1,aflow:32cefcad1eab10a9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRu_pv/720.BA,225,cF8,"['C', 'Ru']",0.0,0.0,,,,0.9054,2,20.1787,4.321664596278663,,,,,
C1Ru1,aflow:39535a6a8b791c08,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRu_pv/720.AB,225,cF8,"['C', 'Ru']",0.0,0.0,,,,0.9054,2,20.1787,4.321664596278663,,,,,
C1Ru1,aflow:52e918ec38633366,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRu_pv/201,225,cF8,"['C', 'Ru']",0.0,0.0,,,,0.9054,2,20.1787,4.321664596278663,,,,,
C1Ru1,aflow:a0169179611bf672,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CRu_pv/4,225,cF8,"['C', 'Ru']",0.0,0.0,,,,0.905428,2,20.1773,4.3215646481425205,,,,,
C1Sb1,aflow:327537a9b6e35390,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSb/720.BA,225,cF8,"['C', 'Sb']",0.0,0.0,,,,1.35775,2,29.2625,4.891669867120149,,,,,
C1Sb1,aflow:377fb8fa2435f18e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSb/720.AB,225,cF8,"['C', 'Sb']",0.0,0.0,,,,1.35775,2,29.2625,4.891669867120149,,,,,
C1Sb1,aflow:7ec2e1ac83071ec8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSb/201,225,cF8,"['C', 'Sb']",0.0,0.0,,,,1.35775,2,29.2625,4.891669867120149,,,,,
C1Sb1,aflow:bc13ec8b98af05b5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSb/4,225,cF8,"['C', 'Sb']",0.0,0.0,,,,1.35775,2,29.2635,4.891725588198281,,,,,
C1Sc1,aflow:4abee2d5b9e8b8e0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSc_sv/720.BA,225,cF8,"['C', 'Sc']",0.0,0.0,,,,-0.141558,2,25.7229,4.68590313606723,,,,,
C1Sc1,aflow:91f57e636b900282,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSc_sv/720.AB,225,cF8,"['C', 'Sc']",0.0,0.0,,,,-0.14156,2,25.7194,4.6856905964639015,,,,,
C1Sc1,aflow:b229b8f278353f2d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSc_sv/4,225,cF8,"['C', 'Sc']",0.0,0.0,,,,-0.14155,2,25.7265,4.686121728117931,,,,,
C1Sc1,aflow:ea12487434d5db82,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSc_sv/201,225,cF8,"['C', 'Sc']",0.0,0.0,,3.35217e-05,595.138,-0.14156,2,25.7194,4.6856905964639015,153.601,0.307883,67.6882,177.057,26.9782
C1Se1,aflow:2731dd63c9ffacef,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSe/4,225,cF8,"['C', 'Se']",0.0,0.0,,,,1.92352,2,24.3962,4.603916010004621,,,,,
C1Se1,aflow:752ed53755f0762e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSe/720.AB,225,cF8,"['C', 'Se']",0.0,0.0,,,,1.9235,2,24.3951,4.603846813658089,,,,,
C1Se1,aflow:db5694ab69fe1311,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSe/201,225,cF8,"['C', 'Se']",0.0,0.0,,,,1.9235,2,24.3951,4.603846813658089,,,,,
C1Se1,aflow:ef636bd6528e6bcd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSe/720.BA,225,cF8,"['C', 'Se']",0.0,0.0,,,,1.9235,2,24.3951,4.603846813658089,,,,,
C1Si1,aflow:03fd9a034edc5209,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSi/4,225,cF8,"['C', 'Si']",0.0,0.0,,,,0.534812,2,16.6844,4.0562389235082374,,,,,
C1Si1,aflow:45197fd0a3a23f9c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSi/201,225,cF8,"['C', 'Si']",0.0,0.0,,,,0.534804,2,16.6842,4.056222715732786,,,,,
C1Si1,aflow:6ecd750cae69a5af,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSi/720.BA,225,cF8,"['C', 'Si']",0.0,0.0,,,,0.534804,2,16.6842,4.056222715732786,,,,,
C1Si1,aflow:ef32d5a7ebf3e5f2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSi/720.AB,225,cF8,"['C', 'Si']",0.0,0.0,,,,0.534804,2,16.6842,4.056222715732786,,,,,
C1Sn1,aflow:1e78c439814d5281,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSn/4,225,cF8,"['C', 'Sn']",0.0,0.0,,,,1.25588,2,27.5724,4.795621006301128,,,,,
C1Sn1,aflow:4edd427104c9fb1b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSn/720.BA,225,cF8,"['C', 'Sn']",0.0,0.0,,,,1.25588,2,27.5679,4.795360099637811,,,,,
C1Sn1,aflow:9afc4e2c29b9f9ba,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSn/720.AB,225,cF8,"['C', 'Sn']",0.0,0.0,,,,1.25588,2,27.5678,4.795354301389489,,,,,
C1Sn1,aflow:fb0d6579570dda0b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSn/201,225,cF8,"['C', 'Sn']",0.0,0.0,,,,1.25588,2,27.5678,4.795354301389489,,,,,
C1Sr1,aflow:53e685060123bff2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSr_sv/201,225,cF8,"['C', 'Sr']",0.835,0.119,,,,1.26401,2,45.7528,5.677527191811145,,,,,
C1Sr1,aflow:675313cff915f8b6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSr_sv/4,225,cF8,"['C', 'Sr']",0.835,0.12,,,,1.26414,2,45.7283,5.676513598091552,,,,,
C1Sr1,aflow:c6a8052f611726b7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSr_sv/720.BA,225,cF8,"['C', 'Sr']",0.835,0.119,,,,1.26401,2,45.7528,5.677527191811145,,,,,
C1Sr1,aflow:f0851c368b3f8138,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CSr_sv/720.AB,225,cF8,"['C', 'Sr']",0.835,0.119,,,,1.26401,2,45.7528,5.677527191811145,,,,,
C1Ta1,aflow:16b5cf4c60a289b4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618833.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:1fa5bb5d729eb84c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618835.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:20c624e111c9a9ca,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/4,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580548,2,22.4599,4.478740877018652,,,,,
C1Ta1,aflow:33a8e5c522b7752e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_53974.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:38df8e97de7a57f3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_26956.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:486508c449f686ce,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618820.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:51ba51b5f336d6ee,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_38239.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:5ec5d09d612077e7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_155163.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:6103d0dbe0ca7fcd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_44497.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:6180206ef4d9c79f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618823.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:665a13c2c6cf0629,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_43525.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:7443527ec9d352fe,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618830.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:7b5348a6157d93ea,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618831.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:834020e563939161,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/720.BA,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:854da1ed42315d57,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618828.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:915d3d478dc28c31,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_601144.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:91751653e073f9b0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/201,225,cF8,"['C', 'Ta']",0.0,0.0,,1.93659e-05,563.069,-0.580638,2,22.4693,4.479365609576142,321.384,0.229615,212.011,521.383,64.3567
C1Ta1,aflow:aae8515c1b981633,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/720.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:ad7c066ed15fcdc2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_159875.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4692,4.479358964402127,,,,,
C1Ta1,aflow:b1aafe2ec261f03a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618836.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:c646489e799d9f15,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618832.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:ceaa5f8a94b75c53,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618825.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:cfbdc4abb794e440,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618818.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Ta1,aflow:e121c232244616bd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTa_pv/ICSD_618829.AB,225,cF8,"['C', 'Ta']",0.0,0.0,,,,-0.580638,2,22.4693,4.479365609576142,,,,,
C1Tc1,aflow:5eacfd5dec85710f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTc_pv/201,225,cF8,"['C', 'Tc']",0.0,0.0,,,,0.644485,2,20.3855,4.336377873596269,,,,,
C1Tc1,aflow:9607d791266203cd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTc_pv/720.AB,225,cF8,"['C', 'Tc']",0.0,0.0,,,,0.644485,2,20.3855,4.336377873596269,,,,,
C1Tc1,aflow:be238f170a039d18,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTc_pv/720.BA,225,cF8,"['C', 'Tc']",0.0,0.0,,,,0.644485,2,20.3855,4.336377873596269,,,,,
C1Te1,aflow:2195db312fa04fd9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTe/4,225,cF8,"['C', 'Te']",0.0,0.0,,,,1.84369,2,31.2088,4.997801700304,,,,,
C1Te1,aflow:6b9ad8a25de9312f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTe/201,225,cF8,"['C', 'Te']",0.0,0.0,,,,1.84368,2,31.2115,4.997945822853488,,,,,
C1Te1,aflow:c50bbf16ed97784c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTe/720.BA,225,cF8,"['C', 'Te']",0.0,0.0,,,,1.84368,2,31.2115,4.997945822853488,,,,,
C1Te1,aflow:c9f55caf944d41cb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTe/720.AB,225,cF8,"['C', 'Te']",0.0,0.0,,,,1.84368,2,31.2115,4.997945822853488,,,,,
C1Ti1,aflow:16b8970d5a033170,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTi_sv/201,225,cF8,"['C', 'Ti']",0.0,0.0,,2.10396e-05,890.952,-0.817982,2,20.4032,4.337632551101586,250.112,0.211539,178.651,432.886,84.6612
C1Ti1,aflow:781a911dafe9a437,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTi_sv/720.BA,225,cF8,"['C', 'Ti']",0.0,0.0,,,,-0.817982,2,20.4031,4.337625464566732,,,,,
C1Ti1,aflow:7e5acebb9aadd498,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTi_sv/4,225,cF8,"['C', 'Ti']",0.0,0.0,,,,-0.817987,2,20.4026,4.337590031545134,,,,,
C1Ti1,aflow:9508a58c4b74bdba,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTi_sv/720.AB,225,cF8,"['C', 'Ti']",0.0,0.0,,,,-0.817982,2,20.4032,4.337632551101586,,,,,
C1Ti1,aflow:ba8d9b4b90e96c63,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CTi_sv/ICSD_1546.AB,225,cF8,"['C', 'Ti']",0.0,0.0,,,,-0.817982,2,20.4031,4.337625464566732,,,,,
