compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,enthalpy_formation_atom
Au1C1,aflow:2935fed31328dbd3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/4,225,cF8,"['Au', 'C']",2.08801
Au1C1,aflow:4145230b5201b8ee,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/720.BA,225,cF8,"['Au', 'C']",2.08796
Au1C1,aflow:42601f5bda87f016,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/720.AB,225,cF8,"['Au', 'C']",2.08796
Au1C1,aflow:923806b166275351,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/201,225,cF8,"['Au', 'C']",2.08796
Au2C2,aflow:d07066fcb4ab123e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/447,225,cF8,"['Au', 'C']",2.08451
B2C2,aflow:09c6a42684d071af,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/119,225,cF8,"['B', 'C']",1.42094
B1C1,aflow:2871c0a4d75aff0b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/720.AB,225,cF8,"['B', 'C']",1.41832
B2C2,aflow:be39bd0baf275064,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/448,225,cF8,"['B', 'C']",1.42118
B1C1,aflow:c912c0d573c0ae57,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/720.BA,225,cF8,"['B', 'C']",1.41832
B1C1,aflow:cf93a9ede3ab39eb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/201,225,cF8,"['B', 'C']",1.41832
Ba2C2,aflow:339b48bcb114c4c0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/197,225,cF8,"['Ba', 'C']",1.39226
Ba1C1,aflow:3d7c87186585bd5c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.BA,225,cF8,"['Ba', 'C']",1.39193
Ba1C1,aflow:425d69d2ed19802d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.AB,225,cF8,"['Ba', 'C']",1.39193
Ba1C1,aflow:5e62b59a121befe4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/201,225,cF8,"['Ba', 'C']",1.39193
Ba2C2,aflow:85033a12ea331bec,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/77,225,cF8,"['Ba', 'C']",1.39227
Ba2C2,aflow:9b66ac6561cbafb8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/71,225,cF8,"['Ba', 'C']",1.39205
Ba2C2,aflow:bb7ea2f28dc46ade,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/14,225,cF8,"['Ba', 'C']",1.39229
Ba1C1,aflow:f6641b23cd252f2e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/4,225,cF8,"['Ba', 'C']",1.39222
Be1C1,aflow:9ea4d5b3ab249d3b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/201,225,cF8,"['Be', 'C']",1.30177
Be1C1,aflow:cb1a759c8e8866ad,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.AB,225,cF8,"['Be', 'C']",1.30177
Be1C1,aflow:f537e74e65be3a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.BA,225,cF8,"['Be', 'C']",1.30177
Bi1C1,aflow:06e34f9330c842de,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.AB,225,cF8,"['Bi', 'C']",1.68052
Bi1C1,aflow:0870c4a5c0c5d8b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/201,225,cF8,"['Bi', 'C']",1.68052
Bi1C1,aflow:2e7ee3cdb53de5d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.BA,225,cF8,"['Bi', 'C']",1.68052
Bi2C2,aflow:4442afe00999a053,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/119,225,cF8,"['Bi', 'C']",1.68055
Bi1C1,aflow:8063e48d83f0808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/4,225,cF8,"['Bi', 'C']",1.68054
Br1C1,aflow:1681afafa482cb4f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.AB,225,cF8,"['Br', 'C']",2.63074
Br1C1,aflow:48c2acae4461a530,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/201,225,cF8,"['Br', 'C']",2.63074
Br1C1,aflow:5f47e633fdd062e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.BA,225,cF8,"['Br', 'C']",2.63074
Br1C1,aflow:f9ba843bac27981f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/4,225,cF8,"['Br', 'C']",2.63076
C2Ca2,aflow:0a7e96f695c2615c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/196,225,cF8,"['C', 'Ca']",1.13104
C2Ca2,aflow:44f6c5e523c366e3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/197,225,cF8,"['C', 'Ca']",1.13123
C2Ca2,aflow:610fa7e18338c4da,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/20,225,cF8,"['C', 'Ca']",1.13167
C2Ca2,aflow:889b2203aab52f32,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/71,225,cF8,"['C', 'Ca']",1.13128
C2Ca2,aflow:90fe129209b882d2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/77,225,cF8,"['C', 'Ca']",1.13142
C1Ca1,aflow:bec04eacd36fbed0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.BA,225,cF8,"['C', 'Ca']",1.13057
C1Ca1,aflow:d4f8ec7c54ac73bf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/201,225,cF8,"['C', 'Ca']",1.13057
C1Ca1,aflow:de74d3a0085bdf79,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/4,225,cF8,"['C', 'Ca']",1.13102
C1Ca1,aflow:e405c0ccdd255754,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.AB,225,cF8,"['C', 'Ca']",1.13057
C2Ca2,aflow:eedc01c26981e25f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/14,225,cF8,"['C', 'Ca']",1.13128
C1Cd1,aflow:5c11d3fe338ee4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/201,225,cF8,"['C', 'Cd']",1.97771
C1Cd1,aflow:7ba2f6b4713017d4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.BA,225,cF8,"['C', 'Cd']",1.97771
C2Cd2,aflow:a99578f894f05c12,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/77,225,cF8,"['C', 'Cd']",1.97681
C1Cd1,aflow:b86d586a4d8c7933,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.AB,225,cF8,"['C', 'Cd']",1.97771
C1Cd1,aflow:d49918f57adc69db,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/4,225,cF8,"['C', 'Cd']",1.97775
C2Cd2,aflow:f5944b51ff62fae0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/20,225,cF8,"['C', 'Cd']",1.97784
C1Co1,aflow:1dd7181652ef69b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/201,225,cF8,"['C', 'Co']",0.819653
C1Co1,aflow:1f70e72def8afb2f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.AB,225,cF8,"['C', 'Co']",0.819653
C1Co1,aflow:d63b49bad3700680,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/4,225,cF8,"['C', 'Co']",0.819668
C1Co1,aflow:ffb09b43141f024b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.BA,225,cF8,"['C', 'Co']",0.819653
C1Cr1,aflow:0966002967d38874,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.AB,225,cF8,"['C', 'Cr']",0.173295
C1Cr1,aflow:22440a101d4cd4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/4,225,cF8,"['C', 'Cr']",0.173466
C1Cr1,aflow:48383caf30281ea0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/ICSD_57008.AB,225,cF8,"['C', 'Cr']",0.173298
C2Cr2,aflow:639cc4782c24eb51,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/119,225,cF8,"['C', 'Cr']",0.159307
C1Cr1,aflow:c202668d580fc1be,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/201,225,cF8,"['C', 'Cr']",0.173295
C1Cr1,aflow:d49ca09aea69740a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.BA,225,cF8,"['C', 'Cr']",0.173295
C8Cr8,aflow:e83abaf44bac1aa0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/AB_cF64_227_cd_e-001.AB,225,cF8,"['C', 'Cr']",0.158124
C1Cs1,aflow:742589d04d8b0dfa,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCs_sv/77,225,cF8,"['C', 'Cs']",2.25759
C1Cs1,aflow:a24dc2249e782e11,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCs_sv/256,225,cF8,"['C', 'Cs']",2.25759
C4Cu4,aflow:06e47ca06f3b4486,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/195,225,cF8,"['C', 'Cu']",1.70193
C1Cu1,aflow:76a33ee0735c62ef,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/720.BA,225,cF8,"['C', 'Cu']",1.7004
C1Cu1,aflow:b120307fb592b4f5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/201,225,cF8,"['C', 'Cu']",1.70041
C1Cu1,aflow:ed9de32ec714b648,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/720.AB,225,cF8,"['C', 'Cu']",1.70041
C2Fe2,aflow:1872df32b6410aec,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/448,225,cF8,"['C', 'Fe']",0.598168
C2Fe2,aflow:303953a0dc391155,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/447,225,cF8,"['C', 'Fe']",0.59817
C2Fe2,aflow:329fe0f42f8ad6c7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/71,225,cF8,"['C', 'Fe']",0.598132
C1Fe1,aflow:3be2a2bb2f1f6c50,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/720.BA,225,cF8,"['C', 'Fe']",0.598101
C1Fe1,aflow:6736d65c1c25a697,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/201,225,cF8,"['C', 'Fe']",0.598101
C2Fe2,aflow:8d2090c8a67ec61d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/20,225,cF8,"['C', 'Fe']",0.598219
C2Fe2,aflow:94fb988bc694e55a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/14,225,cF8,"['C', 'Fe']",0.598263
C2Fe2,aflow:a2e3cd3e44cae635,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/197,225,cF8,"['C', 'Fe']",0.598075
C1Fe1,aflow:aff2d7466788413a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/4,225,cF8,"['C', 'Fe']",0.598135
C1Fe1,aflow:b3971f174eb2edc9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/720.AB,225,cF8,"['C', 'Fe']",0.598101
C2Fe2,aflow:cebc300a72095f21,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/119,225,cF8,"['C', 'Fe']",0.598323
C1Ga1,aflow:05104d31d22d981e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/720.BA,225,cF8,"['C', 'Ga']",1.21423
C2Ga2,aflow:076b845d20d8c174,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/14,225,cF8,"['C', 'Ga']",1.21505
C3Ga3,aflow:264658e647dcbd8b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/136,225,cF8,"['C', 'Ga']",1.21361
C1Ga1,aflow:2d8d1d2066966492,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/720.AB,225,cF8,"['C', 'Ga']",1.21423
C1Ga1,aflow:bba5c91f93a0f4b0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/201,225,cF8,"['C', 'Ga']",1.21423
C2Ga2,aflow:c94b9007fc61b3a1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/77,225,cF8,"['C', 'Ga']",1.21433
C1Ga1,aflow:d6ceb8a1d95277ea,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGa_h/4,225,cF8,"['C', 'Ga']",1.21425
C1Ge1,aflow:0befdf85b67349b8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/4,225,cF8,"['C', 'Ge']",1.28321
C2Ge2,aflow:17f4808b7d951733,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/77,225,cF8,"['C', 'Ge']",1.28033
C2Ge2,aflow:3f85cdc3bec4eea1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/447,225,cF8,"['C', 'Ge']",1.28348
C2Ge2,aflow:53bc980e1eb57316,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/20,225,cF8,"['C', 'Ge']",1.2811
C2Ge2,aflow:6afe56a4ea8f9f74,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/448,225,cF8,"['C', 'Ge']",1.28351
C1Ge1,aflow:8fea397ef68c9f59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ge1_ICSD_182364,225,cF8,"['C', 'Ge']",1.28253
C1Ge1,aflow:ab9aba2b86dfb346,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/720.BA,225,cF8,"['C', 'Ge']",1.28308
C1Ge1,aflow:b680b5481a177c8f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/201,225,cF8,"['C', 'Ge']",1.28308
C1Ge1,aflow:f9dd32de2f2837d6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CGe_h/720.AB,225,cF8,"['C', 'Ge']",1.28308
C2Hf2,aflow:01d96dc96519d55c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/77,225,cF8,"['C', 'Hf']",-0.947689
C1Hf1,aflow:046344f57f96f998,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618012,225,cF8,"['C', 'Hf']",-0.947977
C2Hf2,aflow:09ab9dc5fa979be7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/119,225,cF8,"['C', 'Hf']",-0.94735
C1Hf1,aflow:1031a906d6c69629,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618010,225,cF8,"['C', 'Hf']",-0.947974
C1Hf1,aflow:18286b464067d75b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_22262,225,cF8,"['C', 'Hf']",-0.947364
C1Hf1,aflow:1816b6ef01585430,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618013,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:187864a52ebfd870,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/4,225,cF8,"['C', 'Hf']",-0.946816
C1Hf1,aflow:25c4c4493c9951be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658336,225,cF8,"['C', 'Hf']",-0.947979
C1Hf1,aflow:25be0269896a849d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618016,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:262d6ed98d4e2449,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618017,225,cF8,"['C', 'Hf']",-0.947981
C1Hf1,aflow:298eb50e872677c5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/ICSD_108134.AB,225,cF8,"['C', 'Hf']",-0.946441
C2Hf2,aflow:2b14cf71a7951ed1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/197,225,cF8,"['C', 'Hf']",-0.950431
C1Hf1,aflow:2c18151fa32f3a42,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/ICSD_658336.AB,225,cF8,"['C', 'Hf']",-0.946441
C1Hf1,aflow:2d6558879a325b90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618009,225,cF8,"['C', 'Hf']",-0.947979
C8Hf8,aflow:3158d4e95d222094,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/AB_cF64_227_cd_e-001.AB,225,cF8,"['C', 'Hf']",-0.946631
C2Hf2,aflow:389d107fac096514,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/447,225,cF8,"['C', 'Hf']",-0.947798
C1Hf1,aflow:3d14dafa0b983e6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_185978,225,cF8,"['C', 'Hf']",-0.947367
C3Hf3,aflow:4dc630362196c80b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/136,225,cF8,"['C', 'Hf']",-0.945232
C1Hf1,aflow:549dd4bfb5e47d59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618020,225,cF8,"['C', 'Hf']",-0.947971
C1Hf1,aflow:57bfe7dcf5996ae5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_180600,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:5ea90ae725dab419,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618008,225,cF8,"['C', 'Hf']",-0.947979
C1Hf1,aflow:6b88d0acce6b4be2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618002,225,cF8,"['C', 'Hf']",-0.947365
C1Hf1,aflow:6c0fcbe9e1888638,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/201,225,cF8,"['C', 'Hf']",-0.946441
C2Hf2,aflow:715ce044238d8935,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/196,225,cF8,"['C', 'Hf']",-0.950347
C2Hf2,aflow:745aecd39a3fec02,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/20,225,cF8,"['C', 'Hf']",-0.946908
C1Hf1,aflow:7942e3d3f1880e9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_181793,225,cF8,"['C', 'Hf']",-0.947367
C1Hf1,aflow:84235ab433d829a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618015,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:860a8b2eed0acca4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618005,225,cF8,"['C', 'Hf']",-0.947977
C2Hf2,aflow:8b886828ffab0d43,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/14,225,cF8,"['C', 'Hf']",-0.945205
C1Hf1,aflow:92d6b24b8eab0e1d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618011,225,cF8,"['C', 'Hf']",-0.947979
C1Hf1,aflow:93de5cdf2d177f28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618003,225,cF8,"['C', 'Hf']",-0.947974
C2Hf2,aflow:9bf8b7b2aa7dd29b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/71,225,cF8,"['C', 'Hf']",-0.950372
C4Hf4,aflow:9c2a810cc0fd9a26,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/256,225,cF8,"['C', 'Hf']",-0.947651
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:b4ded597920b5b86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617998,225,cF8,"['C', 'Hf']",-0.947974
C1Hf1,aflow:b9c23eaefce99ab9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658398,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:bc1de4e7059afc64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617997,225,cF8,"['C', 'Hf']",-0.947974
C1Hf1,aflow:be6d72090aeac184,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_159873,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:c1e3fc043f434484,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618004,225,cF8,"['C', 'Hf']",-0.947977
C1Hf1,aflow:c3025169336c51f2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/ICSD_658398.AB,225,cF8,"['C', 'Hf']",-0.946441
C2Hf2,aflow:cb73433ec7351bfc,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/74,225,cF8,"['C', 'Hf']",-0.946854
C1Hf1,aflow:d03317b40ac91dce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618018,225,cF8,"['C', 'Hf']",-0.947979
C1Hf1,aflow:d7f08593d965949a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618001,225,cF8,"['C', 'Hf']",-0.947974
C1Hf1,aflow:da8888077d2a388e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/720.BA,225,cF8,"['C', 'Hf']",-0.946441
C1Hf1,aflow:dc287cb038048c4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618000,225,cF8,"['C', 'Hf']",-0.947974
C1Hf1,aflow:dd616c31dc35ce8e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/720.AB,225,cF8,"['C', 'Hf']",-0.946441
C2Hf2,aflow:f93ac81feccdd7ee,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/448,225,cF8,"['C', 'Hf']",-0.947793
C2Hg2,aflow:5175aff49799ea88,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/119,225,cF8,"['C', 'Hg']",2.30279
C1Hg1,aflow:6c66a20fa4b3f375,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/720.AB,225,cF8,"['C', 'Hg']",2.2987
C1Hg1,aflow:8e21aa2ad722c6b7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/720.BA,225,cF8,"['C', 'Hg']",2.2987
C2Hg2,aflow:9463a184769fad46,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/20,225,cF8,"['C', 'Hg']",2.29976
C1Hg1,aflow:aa277a5ba0f0eb50,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/4,225,cF8,"['C', 'Hg']",2.29871
C2Hg2,aflow:c202e93e4412439e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/14,225,cF8,"['C', 'Hg']",2.30376
