compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD
C4Hf4,aflow:9c2a810cc0fd9a26,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/256,225,cF8,"['C', 'Hf']","[0, 0, 0, 0, 0, 0, 0, 0]"
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:b4ded597920b5b86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617998,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:b9c23eaefce99ab9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658398,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:bc1de4e7059afc64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617997,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:be6d72090aeac184,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_159873,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:c1e3fc043f434484,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618004,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:c3025169336c51f2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/ICSD_658398.AB,225,cF8,"['C', 'Hf']","[0, 0]"
C2Hf2,aflow:cb73433ec7351bfc,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/74,225,cF8,"['C', 'Hf']","[0, 0, 0, 0]"
C1Hf1,aflow:d03317b40ac91dce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618018,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:d7f08593d965949a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618001,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:da8888077d2a388e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/720.BA,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:dc287cb038048c4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618000,225,cF8,"['C', 'Hf']","[0, 0]"
C1Hf1,aflow:dd616c31dc35ce8e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/720.AB,225,cF8,"['C', 'Hf']","[0, 0]"
C2Hf2,aflow:f93ac81feccdd7ee,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHf_pv/448,225,cF8,"['C', 'Hf']","[0, 0, 0, 0]"
C2Hg2,aflow:5175aff49799ea88,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/119,225,cF8,"['C', 'Hg']","[0, 0, 0, 0]"
C1Hg1,aflow:6c66a20fa4b3f375,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/720.AB,225,cF8,"['C', 'Hg']","[0, 0]"
C1Hg1,aflow:8e21aa2ad722c6b7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/720.BA,225,cF8,"['C', 'Hg']","[0, 0]"
C2Hg2,aflow:9463a184769fad46,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/20,225,cF8,"['C', 'Hg']","[0, 0, 0, 0]"
C1Hg1,aflow:aa277a5ba0f0eb50,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/4,225,cF8,"['C', 'Hg']","[0, 0]"
C2Hg2,aflow:c202e93e4412439e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/14,225,cF8,"['C', 'Hg']","[0, 0, 0, 0]"
C2Hg2,aflow:cf7a175e61cce122,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/448,225,cF8,"['C', 'Hg']","[0, 0, 0, 0]"
C1Hg1,aflow:d6cd76bd3a607679,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CHg/201,225,cF8,"['C', 'Hg']","[0, 0]"
C1I1,aflow:559666edd309e87d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CI/201,225,cF8,"['C', 'I']","[0, 0]"
C1I1,aflow:75068cec34fa4d96,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CI/720.BA,225,cF8,"['C', 'I']","[0, 0]"
C1I1,aflow:c5be72f58b1538e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CI/720.AB,225,cF8,"['C', 'I']","[0, 0]"
C1I1,aflow:ff06ab80e2d21152,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CI/4,225,cF8,"['C', 'I']","[0, 0]"
C1In1,aflow:39cab9b93e27a161,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/77,225,cF8,"['C', 'In']","[0, 0]"
C1In1,aflow:6991092ddebaa81e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/4,225,cF8,"['C', 'In']","[0, 0]"
C1In1,aflow:738b567776da763b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/720.BA,225,cF8,"['C', 'In']","[0, 0]"
C2In2,aflow:773e804b2fc488c1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/20,225,cF8,"['C', 'In']","[0, 0, 0, 0]"
C1In1,aflow:81c180ab546e0b67,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/720.AB,225,cF8,"['C', 'In']","[0, 0]"
C1In1,aflow:8880c67daee5ffb5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/201,225,cF8,"['C', 'In']","[0, 0]"
C2In2,aflow:adf8ab2d43e8c362,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/119,225,cF8,"['C', 'In']","[0, 0, 0, 0]"
C2In2,aflow:e600a23b1cda40d6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/448,225,cF8,"['C', 'In']","[0, 0, 0, 0]"
C1In1,aflow:e891422ce887a1e7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/136,225,cF8,"['C', 'In']","[0, 0]"
C2In2,aflow:f0f05f8b34dd5e18,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIn_d/447,225,cF8,"['C', 'In']","[0, 0, 0, 0]"
C1Ir1,aflow:87230621924d75d6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ir1_ICSD_185983,225,cF8,"['C', 'Ir']","[0.115, 0.492]"
C1Ir1,aflow:944cf44ffafdc0a7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIr/720.BA,225,cF8,"['C', 'Ir']","[0.022, 0.122]"
C1Ir1,aflow:b90d2c6bc8294279,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIr/720.AB,225,cF8,"['C', 'Ir']","[0.022, 0.122]"
C1Ir1,aflow:f6209e0665124471,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CIr/201,225,cF8,"['C', 'Ir']","[0.022, 0.122]"
C1K1,aflow:07b2ecb2ddd2bbb3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/201,225,cF8,"['C', 'K']","[1.219, 0.066]"
C2K2,aflow:230dc98eb5426dc1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/14,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C4K4,aflow:23c91884ee41bec1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/256,225,cF8,"['C', 'K']","[1.219, 1.219, 1.219, 1.219, 0.066, 0.066, 0.066, 0.066]"
C2K2,aflow:2a9334a23a5531da,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/197,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C2K2,aflow:2db2e66de931a385,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/448,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C3K3,aflow:39b23367f95e21da,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/136,225,cF8,"['C', 'K']","[1.219, 1.219, 1.219, 0.066, 0.066, 0.066]"
C2K2,aflow:6dece7528ec0d7e6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/20,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C2K2,aflow:80d575e6c7693747,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/119,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C2K2,aflow:8c25ebe0d9efc629,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/77,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C2K2,aflow:8c1ac9ac5c4a39e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/71,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C1K1,aflow:9055a2afc751d575,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/720.AB,225,cF8,"['C', 'K']","[1.219, 0.066]"
C2K2,aflow:b22472710e93cd3d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/447,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C2K2,aflow:c37a41a8b4776129,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/196,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C1K1,aflow:c9e46f7621aeeb6b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/4,225,cF8,"['C', 'K']","[1.219, 0.066]"
C1K1,aflow:dc6a65a0692e9afc,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/720.BA,225,cF8,"['C', 'K']","[1.219, 0.066]"
C2K2,aflow:f6e88640ca0f7a9d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CK_sv/74,225,cF8,"['C', 'K']","[1.219, 1.219, 0.066, 0.066]"
C1Li1,aflow:417c0ce5749ebe2a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CLi_sv/720.BA,225,cF8,"['C', 'Li']","[0.002, 0]"
C1Li1,aflow:4900091ee53982e0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CLi_sv/201,225,cF8,"['C', 'Li']","[0.002, 0]"
C1Li1,aflow:b99c35c18ed179a3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CLi_sv/720.AB,225,cF8,"['C', 'Li']","[0.002, 0]"
C2Mg2,aflow:33ba4bb2a98a9a29,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/196,225,cF8,"['C', 'Mg']","[0, 0, 0, 0]"
C1Mg1,aflow:62fdf8cac7168ec9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/720.BA,225,cF8,"['C', 'Mg']","[0, 0]"
C1Mg1,aflow:6465f407b8240d4a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/201,225,cF8,"['C', 'Mg']","[0, 0]"
C2Mg2,aflow:7b3f773da3331c20,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/197,225,cF8,"['C', 'Mg']","[0, 0, 0, 0]"
C1Mg1,aflow:b6f37e9dda4ce936,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/720.AB,225,cF8,"['C', 'Mg']","[0, 0]"
C2Mg2,aflow:bde50b7c262c8d62,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/14,225,cF8,"['C', 'Mg']","[0.003, 0.003, 0, 0]"
C4Mg4,aflow:c4fe1a149e48f38c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/195,225,cF8,"['C', 'Mg']","[-0.116, -0.116, -0.116, -0.116, -0.005, -0.005, -0.005, -0.005]"
C2Mg2,aflow:dbe28badb973057b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMg_pv/77,225,cF8,"['C', 'Mg']","[0.004, 0.004, 0, 0]"
C1Mn1,aflow:0ad606ed1c0d0652,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/720.AB,225,cF8,"['C', 'Mn']","[-0.14, 2.221]"
C2Mn2,aflow:0d6d1baf4d261ae4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/197,225,cF8,"['C', 'Mn']","[-0.14, -0.14, 2.112, 2.112]"
C1Mn1,aflow:12c900a6cb2f67d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/201,225,cF8,"['C', 'Mn']","[-0.14, 2.221]"
C2Mn2,aflow:1e6dfe21c47cd622,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/448,225,cF8,"['C', 'Mn']","[-0.141, -0.141, 2.019, 2.019]"
C2Mn2,aflow:44fd6695de2f4772,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/196,225,cF8,"['C', 'Mn']","[-0.14, -0.14, 2.118, 2.118]"
C8Mn8,aflow:5a6d104b3953086b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/AB_cF64_227_cd_e-001.AB,225,cF8,"['C', 'Mn']","[-0.139, -0.139, -0.139, -0.139, -0.139, -0.139, -0.139, -0.139, 2.012, 2.012, 2.012, 2.012, 2.012, 2.012, 2.012, 2.012]"
C1Mn1,aflow:78f30e4428ebd929,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/720.BA,225,cF8,"['C', 'Mn']","[-0.14, 2.221]"
C2Mn2,aflow:8db72812f86d21f5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/14,225,cF8,"['C', 'Mn']","[-0.144, -0.144, 2.067, 2.067]"
C2Mn2,aflow:92c77174c3690a9b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/77,225,cF8,"['C', 'Mn']","[-0.143, -0.143, 2.058, 2.058]"
C2Mn2,aflow:9c2dcf0c740b2593,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/20,225,cF8,"['C', 'Mn']","[-0.14, -0.14, 2.123, 2.123]"
C2Mn2,aflow:b01b47cc68a9d541,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/119,225,cF8,"['C', 'Mn']","[-0.141, -0.141, 2.074, 2.074]"
C1Mn1,aflow:bf6ffc718653b2ed,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/4,225,cF8,"['C', 'Mn']","[-0.14, 2.221]"
C2Mn2,aflow:bfab11e64c5e4171,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMn_pv/71,225,cF8,"['C', 'Mn']","[-0.14, -0.14, 2.114, 2.114]"
C1Mo1,aflow:2681365ead45dc92,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/720.BA,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:4a15609e7db69ef1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/720.AB,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:768ceabdd3106f75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_77157,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:7b24175c455986fe,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/ICSD_43523.AB,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:7c4604b1a2705be0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/201,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:b277e5beb3212b58,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/4,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:c26e5f22dedda7c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618306,225,cF8,"['C', 'Mo']","[0, 0]"
C2Mo2,aflow:d5f4eb021a4814d2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/119,225,cF8,"['C', 'Mo']","[0, 0, 0, 0]"
C1Mo1,aflow:dcc37d0f19011b4d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_43523,225,cF8,"['C', 'Mo']","[0, 0]"
C1Mo1,aflow:e6168f280fcabded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_183165,225,cF8,"['C', 'Mo']","[0, 0]"
C8Mo8,aflow:f69e3fdd18342b74,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CMo_pv/AB_cF64_227_cd_e-001.AB,225,cF8,"['C', 'Mo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
C1Mo1,aflow:fd34dee078319bb9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618302,225,cF8,"['C', 'Mo']","[0, 0]"
C1Na1,aflow:58c5d3054d2d7930,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/201,225,cF8,"['C', 'Na']","[1.231, 0.018]"
C1Na1,aflow:e06b039a3f7aee82,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/720.AB,225,cF8,"['C', 'Na']","[1.231, 0.018]"
C1Na1,aflow:f884cc8a7bb2c682,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNa_sv/720.BA,225,cF8,"['C', 'Na']","[1.231, 0.018]"
C2Nb2,aflow:060ed80564c41004,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/74,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C2Nb2,aflow:25e1b79d8760d8a7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/14,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:2639f075621ed57a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_44496.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:306d794471ba0aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618475,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:32b9cbf60b1a5f82,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618463,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:3af6e0150543164b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_601142,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:41441e30d7d0aee9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181052,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:4553463d045385b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_155164.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C2Nb2,aflow:491f9544a6590044,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/448,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:54afab7ce23a0015,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/720.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:59313a3131de9c03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618480,225,cF8,"['C', 'Nb']","[0, 0]"
C2Nb2,aflow:5eb44ddd40c67f1f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/119,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:60a2faed282b0dd1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618482,225,cF8,"['C', 'Nb']",[0]
C1Nb1,aflow:6186072d704e10a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618453,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:627b75db5b51576a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618471,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:667cdc34d29a6a0f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/720.BA,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:6ee50d256c112b06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_189089,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:7291a227092ef04c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_44355,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:725c78e6ed8ac310,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618473,225,cF8,"['C', 'Nb']",[0]
C1Nb1,aflow:8416098a91dbc14d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618465,225,cF8,"['C', 'Nb']",[0]
C1Nb1,aflow:8e3422b6285dd3d9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618460,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:90c33e8683590af5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_26955.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C2Nb2,aflow:949b754227969d87,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/71,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:9b103e465983c9ae,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_26955,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:9d49287a6d1da95a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_183163,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:9fa8d5025797d2c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181792,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:a172b6019c70651f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/4,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:a38955a209dd38ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618462,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:aa76acc5d2c7fd57,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/201,225,cF8,"['C', 'Nb']","[0, 0]"
C3Nb3,aflow:add3c9ae1ab32d90,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/136,225,cF8,"['C', 'Nb']","[0, 0, 0, 0, 0, 0]"
C1Nb1,aflow:b7e79ad06eff8796,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618481,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:c06df141a7d92275,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618483,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:c9c319596bed6503,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618484,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:cc651d2e76105e10,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_44355.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:ce23c1f616dd0610,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/ICSD_601142.AB,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:d188d3a352409f2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618448,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:d6c9ab19dcb81c5b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618449,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:da49b2ca4f3a5480,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618472,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:dc96ddaddb6c935b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_155164,225,cF8,"['C', 'Nb']","[0, 0]"
C4Nb4,aflow:dc952582ffbb8259,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/256,225,cF8,"['C', 'Nb']","[0, 0, 0, 0, 0, 0, 0, 0]"
C2Nb2,aflow:dd0352003ba2c355,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/77,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:dead1c1f7f3a83bc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618458,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:e0041b027140f7ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_94449,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:e0289be0dc23d4e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_187077,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:e6e4bc88940142c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_159872,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:efe2a6a1aab68541,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_44496,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:f0699aa1cca3a540,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_77214,225,cF8,"['C', 'Nb']",[0]
C2Nb2,aflow:f28a67c9eeeb0e09,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CNb_sv/20,225,cF8,"['C', 'Nb']","[0, 0, 0, 0]"
C1Nb1,aflow:f4a12647d9e406b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618476,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:f77d63fe71957820,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618466,225,cF8,"['C', 'Nb']","[0, 0]"
C1Nb1,aflow:f8bf3cf03e13ce9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618469,225,cF8,"['C', 'Nb']",[0]
