compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD
C1Ca1,aflow:e405c0ccdd255754,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.AB,225,cF8,"['C', 'Ca']","[0.815, 0.135]"
C2Ca2,aflow:eedc01c26981e25f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/14,225,cF8,"['C', 'Ca']","[0.814, 0.814, 0.135, 0.135]"
C1Cd1,aflow:228515a5e5c206a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,225,cF8,"['C', 'Cd']","[0, 0]"
C1Cd1,aflow:5c11d3fe338ee4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/201,225,cF8,"['C', 'Cd']","[0, 0]"
C1Cd1,aflow:7ba2f6b4713017d4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.BA,225,cF8,"['C', 'Cd']","[0, 0]"
C2Cd2,aflow:a99578f894f05c12,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/77,225,cF8,"['C', 'Cd']","[0, 0, 0, 0]"
C1Cd1,aflow:b86d586a4d8c7933,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.AB,225,cF8,"['C', 'Cd']","[0, 0]"
C1Cd1,aflow:d49918f57adc69db,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/4,225,cF8,"['C', 'Cd']","[0, 0]"
C2Cd2,aflow:f5944b51ff62fae0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/20,225,cF8,"['C', 'Cd']","[0, 0, 0, 0]"
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,"['C', 'Ce']","[0, 0]"
C1Ce1,aflow:8c6f386723161234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_76769,225,cF8,"['C', 'Ce']","[0, 0]"
C1Co1,aflow:1dd7181652ef69b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/201,225,cF8,"['C', 'Co']","[0.026, 0.274]"
C1Co1,aflow:1f70e72def8afb2f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.AB,225,cF8,"['C', 'Co']","[0.026, 0.274]"
C1Co1,aflow:d63b49bad3700680,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/4,225,cF8,"['C', 'Co']","[0.026, 0.274]"
C1Co1,aflow:ffb09b43141f024b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.BA,225,cF8,"['C', 'Co']","[0.026, 0.274]"
C1Cr1,aflow:0966002967d38874,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.AB,225,cF8,"['C', 'Cr']","[0, -0.002]"
C1Cr1,aflow:22440a101d4cd4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/4,225,cF8,"['C', 'Cr']","[0, 0]"
C1Cr1,aflow:48383caf30281ea0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/ICSD_57008.AB,225,cF8,"['C', 'Cr']","[0, -0.003]"
C2Cr2,aflow:639cc4782c24eb51,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/119,225,cF8,"['C', 'Cr']","[-0.119, -0.119, 1.447, 1.447]"
