compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
Be1C1,aflow:f537e74e65be3a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.BA,225,cF8,"['Be', 'C']","[0, 0]",,,,1.30177,2,14.464,,,,,
Bi1C1,aflow:06e34f9330c842de,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.AB,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9123,,,,,
Bi1C1,aflow:0870c4a5c0c5d8b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/201,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9123,,,,,
Bi1C1,aflow:2e7ee3cdb53de5d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.BA,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9122,,,,,
Bi1C1,aflow:8063e48d83f0808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/4,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68054,2,33.9079,,,,,
Bi2C2,aflow:4442afe00999a053,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/119,225,cF8,"['Bi', 'C']","[0, 0, 0, 0]",,,,1.68055,4,67.8295,,,,,
Br1C1,aflow:1681afafa482cb4f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.AB,225,cF8,"['Br', 'C']","[0, 0]",,,,2.63074,2,30.4644,,,,,
Br1C1,aflow:48c2acae4461a530,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/201,225,cF8,"['Br', 'C']","[0, 0]",,,,2.63074,2,30.4644,,,,,
Br1C1,aflow:5f47e633fdd062e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.BA,225,cF8,"['Br', 'C']","[0, 0]",,,,2.63074,2,30.4644,,,,,
Br1C1,aflow:f9ba843bac27981f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/4,225,cF8,"['Br', 'C']","[0, 0]",,,,2.63076,2,30.4638,,,,,
C1Ca1,aflow:bec04eacd36fbed0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.BA,225,cF8,"['C', 'Ca']","[0.815, 0.135]",,,,1.13057,2,36.9423,,,,,
C1Ca1,aflow:d4f8ec7c54ac73bf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/201,225,cF8,"['C', 'Ca']","[0.815, 0.135]",,,,1.13057,2,36.9418,,,,,
C1Ca1,aflow:de74d3a0085bdf79,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/4,225,cF8,"['C', 'Ca']","[0.815, 0.135]",,,,1.13102,2,36.9095,,,,,
