compound,binding_metal,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count,source
C1Y1,Y,0.0,0.0,,3.7985e-05,460.023,0.036543374999999996,5.094665698717947,123.689,0.274763,65.5633,167.156,19.9858,4,aflow
C1Y1,Y,0.0,0.0,0.0,3.79264e-05,454.053,0.0366985,5.094144192203999,124.4,0.279353,64.3648,164.691,19.4086,2,icsd
C1Zn1,Zn,0.0,0.0,,,,1.6496425000000001,4.4015782848618095,,,,,,4,aflow
C1Zr1,Zr,0.0,0.0,,2.19512e-05,675.947,-0.8124834444444444,4.723688396812266,217.05,0.209052,156.693,378.901,67.4176,9,aflow
C1Zr1,Zr,0.0,0.0,0.0,2.18376e-05,671.904,-0.8125638333333334,4.724142289839402,220.867,0.212686,156.986,380.749,67.4411,42,icsd
C2Ca2,Ca,0.8144999999999999,0.135,,,,1.1313199999999999,5.285816664356883,,,,,,6,aflow
C2Cd2,Cd,0.0,0.0,,,,1.977325,4.854186344890747,,,,,,2,aflow
C2Cr2,Cr,-0.119,1.447,,,,0.159307,4.107402846085805,,,,,,1,aflow
C2Fe2,Fe,0.0,0.0,,,,0.5981928571428572,3.9936721258364836,,,,,,7,aflow
C2Ga2,Ga,0.0,0.0,,,,1.21469,4.393076951578469,,,,,,2,aflow
C2Ge2,Ge,0.0,0.0,,,,1.282105,4.388376028706405,,,,,,4,aflow
C2Hf2,Hf,0.0,0.0,,,,-0.9480747,4.6509103064490995,,,,,,10,aflow
C2Hg2,Hg,0.0,0.0,,,,2.3022275,4.9097397044036235,,,,,,4,aflow
C2In2,In,0.0,0.0,,,,1.4953825,4.830110911130054,,,,,,4,aflow
C2K2,K,1.219,0.066,,,,2.3060210000000003,6.179399036379226,,,,,,10,aflow
C2Mg2,Mg,0.00175,0.0,,,,1.325275,4.622493003617485,,,,,,4,aflow
C2Mn2,Mn,-0.141125,2.085625,,,,0.309352125,4.0852022367834255,,,,,,8,aflow
C2Mo2,Mo,0.0,0.0,,,,0.214948,4.382582659821558,,,,,,1,aflow
C2Nb2,Nb,0.0,0.0,,,,-0.545584,4.482864827730056,,,,,,7,aflow
C2Pb2,Pb,0.0,0.0,,,,1.81115,5.098329909032709,,,,,,4,aflow
C2Rb2,Rb,1.2081111111111111,0.07422222222222222,,,,2.304038888888889,6.4802872177372155,,,,,,9,aflow
C2Sc2,Sc,0.00022222222222222223,0.00011111111111111112,,,,-0.14004555555555556,4.686219489819994,,,,,,9,aflow
C2Si2,Si,0.0,0.0,,,,0.5350358571428572,4.056516258749296,,,,,,7,aflow
C2Sn2,Sn,0.0,0.0,,,,1.2563866666666668,4.797300628939751,,,,,,9,aflow
C2Sr2,Sr,0.8358333333333333,0.11916666666666666,,,,1.2640166666666666,5.67698558490934,,,,,,6,aflow
C2Ta2,Ta,0.0,0.0,,,,-0.5849412857142857,4.481945240332023,,,,,,7,aflow
C2Ti2,Ti,0.0,0.0,,,,-0.8190681,4.337671165813169,,,,,,10,aflow
C2Tl2,Tl,0.0,0.0,,,,2.103905,5.037145306411408,,,,,,4,aflow
C2V2,V,0.0,0.0,,,,-0.4188991111111111,4.163593534349022,,,,,,9,aflow
C2Y2,Y,0.0,0.0,,,,0.038333839999999994,5.094164528360965,,,,,,10,aflow
C2Zn2,Zn,0.0,0.0,,,,1.6481933333333334,4.400818154289486,,,,,,3,aflow
C2Zr2,Zr,0.0,0.0,,,,-0.8131974,4.724475672711977,,,,,,10,aflow
C3Ga3,Ga,0.0,0.0,,,,1.21361,4.390756536278209,,,,,,1,aflow
C3Hf3,Hf,0.0,0.0,,,,-0.945232,4.650837068766383,,,,,,1,aflow
C3K3,K,1.219,0.066,,,,2.30597,6.17916465402061,,,,,,1,aflow
C3Nb3,Nb,0.0,0.0,,,,-0.548735,4.483539312669791,,,,,,1,aflow
C3Rb3,Rb,1.208,0.074,,,,2.30424,6.481160438419229,,,,,,1,aflow
C3Sc3,Sc,0.0,0.0,,,,-0.136684,4.687234612135557,,,,,,1,aflow
C3Sn3,Sn,0.0,0.0,,,,1.25486,4.7927959060869485,,,,,,1,aflow
C3Ta3,Ta,0.0,0.0,,,,-0.588928,4.4814910534308385,,,,,,1,aflow
C3Ti3,Ti,0.0,0.0,,,,-0.816932,4.337753018651543,,,,,,1,aflow
C3V3,V,0.0,0.0,,,,-0.418818,4.163575164572626,,,,,,1,aflow
C3Y3,Y,0.0,0.0,,,,0.0396632,5.094403703725853,,,,,,1,aflow
C3Zr3,Zr,0.0,0.0,,,,-0.810632,4.7242347643586795,,,,,,1,aflow
C4Cu4,Cu,0.0,0.0,,,,1.70193,4.217135211899138,,,,,,1,aflow
C4Hf4,Hf,0.0,0.0,,,,-0.947651,4.650221595020363,,,,,,1,aflow
C4K4,K,1.219,0.066,,,,2.30599,6.1797553343089735,,,,,,1,aflow
