compound,binding_metal,run_count,spinD_carbon_aflow,spinD_carbon_icsd,spinD_metal_aflow,spinD_metal_icsd,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,calculated_lattice_parameter,ael_bulk_modulus_vrh,ael_poisson_ratio_aflow,ael_poisson_ratio_icsd,ael_shear_modulus_vrh_aflow,ael_shear_modulus_vrh_icsd,ael_youngs_modulus_vrh_aflow,ael_youngs_modulus_vrh_icsd,agl_thermal_conductivity_300K_aflow,agl_thermal_conductivity_300K_icsd
C2Pb2,Pb,4,0.0,,0.0,,,,,1.81115,5.098329909032709,,,,,,,,,
C2Rb2,Rb,9,1.2081111111111111,,0.07422222222222222,,,,,2.304038888888889,6.4802872177372155,,,,,,,,,
C2Sc2,Sc,9,0.00022222222222222223,,0.00011111111111111112,,,,,-0.14004555555555556,4.686219489819994,,,,,,,,,
C2Si2,Si,7,0.0,,0.0,,,,,0.5350358571428572,4.056516258749296,,,,,,,,,
C2Sn2,Sn,9,0.0,,0.0,,,,,1.2563866666666668,4.797300628939751,,,,,,,,,
C2Sr2,Sr,6,0.8358333333333333,,0.11916666666666666,,,,,1.2640166666666666,5.67698558490934,,,,,,,,,
C2Ta2,Ta,7,0.0,,0.0,,,,,-0.5849412857142857,4.481945240332023,,,,,,,,,
C2Ti2,Ti,10,0.0,,0.0,,,,,-0.8190681,4.337671165813169,,,,,,,,,
C2Tl2,Tl,4,0.0,,0.0,,,,,2.103905,5.037145306411408,,,,,,,,,
C2V2,V,9,0.0,,0.0,,,,,-0.4188991111111111,4.163593534349022,,,,,,,,,
C2Y2,Y,10,0.0,,0.0,,,,,0.038333839999999994,5.094164528360965,,,,,,,,,
C2Zn2,Zn,3,0.0,,0.0,,,,,1.6481933333333334,4.400818154289486,,,,,,,,,
C2Zr2,Zr,10,0.0,,0.0,,,,,-0.8131974,4.724475672711977,,,,,,,,,
C3Ga3,Ga,1,0.0,,0.0,,,,,1.21361,4.390756536278209,,,,,,,,,
C3Hf3,Hf,1,0.0,,0.0,,,,,-0.945232,4.650837068766383,,,,,,,,,
C3K3,K,1,1.219,,0.066,,,,,2.30597,6.17916465402061,,,,,,,,,
C3Nb3,Nb,1,0.0,,0.0,,,,,-0.548735,4.483539312669791,,,,,,,,,
C3Rb3,Rb,1,1.208,,0.074,,,,,2.30424,6.481160438419229,,,,,,,,,
C3Sc3,Sc,1,0.0,,0.0,,,,,-0.136684,4.687234612135557,,,,,,,,,
C3Sn3,Sn,1,0.0,,0.0,,,,,1.25486,4.7927959060869485,,,,,,,,,
C3Ta3,Ta,1,0.0,,0.0,,,,,-0.588928,4.4814910534308385,,,,,,,,,
C3Ti3,Ti,1,0.0,,0.0,,,,,-0.816932,4.337753018651543,,,,,,,,,
C3V3,V,1,0.0,,0.0,,,,,-0.418818,4.163575164572626,,,,,,,,,
C3Y3,Y,1,0.0,,0.0,,,,,0.0396632,5.094403703725853,,,,,,,,,
C3Zr3,Zr,1,0.0,,0.0,,,,,-0.810632,4.7242347643586795,,,,,,,,,
C4Cu4,Cu,1,0.0,,0.0,,,,,1.70193,4.217135211899138,,,,,,,,,
C4Hf4,Hf,1,0.0,,0.0,,,,,-0.947651,4.650221595020363,,,,,,,,,
C4K4,K,1,1.219,,0.066,,,,,2.30599,6.1797553343089735,,,,,,,,,
C4Mg4,Mg,1,-0.116,,-0.005,,,,,1.32546,4.623518493102031,,,,,,,,,
C4Nb4,Nb,1,0.0,,0.0,,,,,-0.542754,4.48257956245948,,,,,,,,,
C4Rb4,Rb,1,1.208,,0.075,,,,,2.30427,6.4796841028750585,,,,,,,,,
C4Sc4,Sc,1,0.0,,0.0,,,,,-0.140642,4.686030650575186,,,,,,,,,
C4Si4,Si,1,0.0,,0.0,,,,,0.534996,4.054037532264999,,,,,,,,,
C4Ta4,Ta,1,0.0,,0.0,,,,,-0.581093,4.4811341861583465,,,,,,,,,
C4Ti4,Ti,2,0.0,,0.0,,,,,-0.818757,4.337691899900102,,,,,,,,,
C4V4,V,1,0.0,,0.0,,,,,-0.418783,4.163281588421388,,,,,,,,,
C4Y4,Y,2,0.0,,0.0,,,,,0.0385653,5.094020925577521,,,,,,,,,
C4Zr4,Zr,3,0.0,,0.0,,,,,-0.8127093333333333,4.724438838059176,,,,,,,,,
C8Cr8,Cr,1,-0.115,,1.364,,,,,0.158124,4.102803951488882,,,,,,,,,
C8Hf8,Hf,1,0.0,,0.0,,,,,-0.946631,4.650352615184005,,,,,,,,,
C8Mn8,Mn,1,-0.139,,2.012,,,,,0.309436,4.079483065995369,,,,,,,,,
C8Mo8,Mo,1,0.0,,0.0,,,,,0.213787,4.383009545238104,,,,,,,,,
C8Nb8,Nb,1,0.0,,0.0,,,,,-0.544768,4.484746709466685,,,,,,,,,
C8Sc8,Sc,1,0.0,,0.0,,,,,-0.142041,4.686068599981579,,,,,,,,,
C8Ta8,Ta,1,0.0,,0.0,,,,,-0.586216,4.481006364054704,,,,,,,,,
C8Ti8,Ti,2,0.0,0.0,0.0,0.0,0.0,,,-0.818546,4.370419038382382,,,,,,,,,
C8W8,W,1,0.0,,0.0,,,,,0.323987,4.390527140965533,,,,,,,,,
C8Y8,Y,1,0.0,,0.0,,,,,0.0367497,5.094502598723582,,,,,,,,,
C8Zr8,Zr,1,0.0,,0.0,,,,,-0.812065,4.723624824928996,,,,,,,,,
